URN_key,storage,database,table,field_path,nullable,primaryKeys,recursive,tags,nativeDataType,description,lineage_key_1,lineage_key_2,lineage_key_3,lineage_key_4,lineage_key_5,back
superset@bidleader.企業客戶_買家撈取結帳單明細@TRANSACTION_NO,superset,bidleader,企業客戶_買家撈取結帳單明細,TRANSACTION_NO,FALSE,TRUE,FALSE,,union,,oracle@bidleader.sold_transaction@transaction_no,,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@SELLER_NICK,superset,bidleader,企業客戶_買家撈取結帳單明細,SELLER_NICK,FALSE,FALSE,FALSE,,string,,oracle@bidleader.user_profile@seller_id,,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@BUYER_NICK,superset,bidleader,企業客戶_買家撈取結帳單明細,BUYER_NICK,FALSE,FALSE,FALSE,,string,,oracle@bidleader.user_profile@buyer_id,,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@訂單狀態,superset,bidleader,企業客戶_買家撈取結帳單明細,訂單狀態,FALSE,FALSE,FALSE,,string,,oracle@bidleader.sold_transaction@trans_cancelflag,oracle@bidleader.sold_transaction@trans_status,oracle@bidleader.sold_transaction@pay_status,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@INSERT_TIME,superset,bidleader,企業客戶_買家撈取結帳單明細,INSERT_TIME,FALSE,FALSE,FALSE,,time,,oracle@bidleader.sold_transaction@insert_time,,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@AMOUNT,superset,bidleader,企業客戶_買家撈取結帳單明細,AMOUNT,FALSE,FALSE,FALSE,,number,,oracle@bidleader.sold_transaction@amount,,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@P_DISCOUNT,superset,bidleader,企業客戶_買家撈取結帳單明細,P_DISCOUNT,FALSE,FALSE,FALSE,,number,,oracle@bidleader.rstore_event_trans_cancel@discount_amount,,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@U_DISCOUNT,superset,bidleader,企業客戶_買家撈取結帳單明細,U_DISCOUNT,FALSE,FALSE,FALSE,,number,,oracle@bidleader.rstore_event_trans_cancel@discount_amount,,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@SHIP_AMOUNT,superset,bidleader,企業客戶_買家撈取結帳單明細,SHIP_AMOUNT,FALSE,FALSE,FALSE,,number,,oracle@bidleader.sold_transaction@ship_amount,,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@露天運費補貼金額,superset,bidleader,企業客戶_買家撈取結帳單明細,露天運費補貼金額,FALSE,FALSE,FALSE,,number,,oracle@bidleader.sold_transaction@ship_amount,oracle@bidleader.sold_transaction@orig_ship_amount,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@POINTS,superset,bidleader,企業客戶_買家撈取結帳單明細,POINTS,FALSE,FALSE,FALSE,,number,,oracle@bidleader.rpoint_trans_record@points,,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@DISCOUNT_AMOUNT,superset,bidleader,企業客戶_買家撈取結帳單明細,DISCOUNT_AMOUNT,FALSE,FALSE,FALSE,,number,,oracle@bidleader.coupon_used@discount_amount,,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@結帳總金額,superset,bidleader,企業客戶_買家撈取結帳單明細,結帳總金額,FALSE,FALSE,FALSE,,number,,oracle@bidleader.rstore_event_trans_cancel@discount_amount,oracle@bidleader.sold_transaction@total_amount,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@買家是否有修改訂單金額,superset,bidleader,企業客戶_買家撈取結帳單明細,買家是否有修改訂單金額,FALSE,FALSE,FALSE,,boolean,,oracle@bidleader.sold_transaction@amount_type,,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@賣家實收金額,superset,bidleader,企業客戶_買家撈取結帳單明細,賣家實收金額,FALSE,FALSE,FALSE,,number,,oracle@bidleader.rpoint_trans_record@points,oracle@bidleader.rstore_event_trans_cancel@discount_amount,oracle@bidleader.sold_transaction@total_amount,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@結帳方式,superset,bidleader,企業客戶_買家撈取結帳單明細,結帳方式,FALSE,FALSE,FALSE,,string,,oracle@bidleader.sold_transaction@pay_way,,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@買家實付金額,superset,bidleader,企業客戶_買家撈取結帳單明細,買家實付金額,FALSE,FALSE,FALSE,,number,,oracle@bidleader.user_payment_3@pay_money,oracle@bidleader.rstore_event_trans_cancel@discount_amount,oracle@bidleader.sold_transaction@total_amount,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@付款狀態,superset,bidleader,企業客戶_買家撈取結帳單明細,付款狀態,FALSE,FALSE,FALSE,,string,,oracle@bidleader.sold_transaction@pay_way,oracle@bidleader.sold_transaction@pay_status,oracle@bidleader.user_payment_3@pay_money,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@BUYER_PAY_TIME,superset,bidleader,企業客戶_買家撈取結帳單明細,BUYER_PAY_TIME,FALSE,FALSE,FALSE,,time,,oracle@bidleader.sold_transaction@buyer_pay_time,,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@取消交易時間,superset,bidleader,企業客戶_買家撈取結帳單明細,取消交易時間,TRUE,FALSE,FALSE,,time,,oracle@bidleader.sold_transaction@update_time,oracle@bidleader.sold_transaction@trans_cancelflag,oracle@bidleader.sold_record_cancel@cancel_time,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@取消交易方,superset,bidleader,企業客戶_買家撈取結帳單明細,取消交易方,TRUE,FALSE,FALSE,,string,,oracle@bidleader.sold_transaction@cancel_status,,,,,
superset@bidleader.企業客戶_買家撈取結帳單明細@取消交易原因,superset,bidleader,企業客戶_買家撈取結帳單明細,取消交易原因,TRUE,FALSE,FALSE,,string,,oracle@bidleader.sold_transaction@cancel_status,,,,,
oracle@bidleader.sold_transaction@cancel_status,oracle,bidleader,sold_transaction,cancel_status,FALSE,FALSE,FALSE,,string,"取消結帳單輔助狀態: t取消交易(ts, tb, ta, tn); r修改訂單(ts執行方為賣家, tb執行方為買家, tn賣家退款取消交易, rs執行方為賣家, rb執行方為買家, ra為系統或客服後台取消) null為舊版取消交易",,,,,,
oracle@bidleader.sold_transaction@orig_ship_amount,oracle,bidleader,sold_transaction,orig_ship_amount,FALSE,FALSE,FALSE,,number,原始運費(預設: null，非null代表有參加運費券活動),,,,,,
oracle@bidleader.sold_transaction@transaction_no,oracle,bidleader,sold_transaction,transaction_no,FALSE,FALSE,FALSE,,string,結帳單號(yymmddsssssssc),,,,,,
oracle@bidleader.user_profile@buyer_id,oracle,bidleader,user_profile,buyer_id,FALSE,FALSE,FALSE,,number,買家會員編號,,,,,,
oracle@bidleader.user_profile@seller_id,oracle,bidleader,user_profile,seller_id,FALSE,FALSE,FALSE,,number,賣家會員編號,,,,,,
oracle@bidleader.sold_transaction@amount,oracle,bidleader,sold_transaction,amount,FALSE,FALSE,FALSE,,number,結標金額總和,,,,,,
oracle@bidleader.sold_transaction@ship_amount,oracle,bidleader,sold_transaction,ship_amount,FALSE,FALSE,FALSE,,number,運費(有參加運費券時，為折扣後運費),,,,,,
oracle@bidleader.sold_transaction@total_amount,oracle,bidleader,sold_transaction,total_amount,FALSE,FALSE,FALSE,,number,總結帳金額,,,,,,
oracle@bidleader.sold_transaction@pay_way,oracle,bidleader,sold_transaction,pay_way,FALSE,FALSE,FALSE,,string,"付款方式: seven_cod=711取貨付款,cod=取貨付款,f2f=面交,ezatm=付款快手,atm=銀行轉帳,others=其他",,,,,,
